UIS.NIRA.1,UIS.XSPENDP.FDPUB.FNS,BAR.PRM.SCHL,BAR.SEC.SCHL,BAR.TER.SCHL,BAR.TOT.SCHL,BAR.NOED.15UP.ZS,BAR.PRM.CMPT.15UP.ZS,BAR.PRM.ICMP.15UP.ZS,BAR.SEC.CMPT.15UP.ZS,BAR.SEC.ICMP.15UP.ZS,BAR.TER.CMPT.15UP.ZS,BAR.TER.ICMP.15UP.ZS,SE.XPD.TOTL.GB.ZS,SE.XPD.TERT.ZS,SE.XPD.TOTL.GD.ZS,SL.TLF.ADVN.ZS,SL.TLF.BASC.ZS,SL.TLF.INTM.ZS,SL.TLF.TOTL.IN,SP.POP.GROW,SI.POV.GINI
91.10782146,69.99864197,5.808666667,4.874666667,1.216,11.89933333,0.78,2.7,6.04,32.11,53.11,20.47,40.07,12.17807007,31.59305006,4.786389828,78.18599701,41.54600143,69.86599731,17734868,0.985903767,33.73
91.10782146,67.22982788,5.808666667,4.874666667,1.216,11.89933333,0.78,2.7,6.04,32.11,53.11,20.47,40.07,13.22047428,31.59305006,6.200091389,77.80899811,41.87900162,69.22699738,17911925,0.796844597,33.76
91.10782146,67.9055481,5.808666667,4.874666667,1.216,11.89933333,0.78,2.7,6.04,32.11,53.11,20.47,40.07,12.32855988,36.81221008,4.787439823,77.72599792,42.00799942,69.47599792,18274696,0.969853611,33.8
91.10782146,67.12976837,5.808666667,4.874666667,1.216,11.89933333,0.78,2.7,6.04,32.11,53.11,20.47,40.07,12.00996017,34.44430923,4.648700237,77.63500214,42.26300049,69.13999939,18573501,1.082197086,33.73
91.10782146,65.48918915,5.808666667,4.874666667,1.216,11.89933333,0.78,2.7,6.04,32.11,53.11,20.47,40.07,12.48363972,36.06861115,4.86123991,77.70800018,40.69599915,67.86299896,18709013,1.144840183,33.67
91.10782146,65.83621216,5.857333333,5.083333333,1.342,12.28266667,0.67,2.24,4.79,31.79,50.63,22.67,43.91,12.33596039,35.38945007,5.360919952,77.16999817,40.06499863,67.52799988,18913406,1.113959721,33.6
91.10782146,65.45578003,5.857333333,5.083333333,1.342,12.28266667,0.67,2.24,4.79,31.79,50.63,22.67,43.91,12.21914005,35.59939957,5.281219959,76.68499756,39.73799896,66.99099731,19059119,0.987617711,33.55
99.35382843,68.88765423,5.857333333,5.083333333,1.342,12.28266667,0.67,2.24,4.79,31.79,50.63,22.67,43.91,13.22047428,31.59305006,6.200091389,76.45899963,39.18199921,66.35099792,19264090,1.180344799,33.5
99.71941376,68.81169891,5.857333333,5.083333333,1.342,12.28266667,0.67,2.24,4.79,31.79,50.63,22.67,43.91,13.22047428,31.59305006,6.200091389,76.2559967,38.91400146,65.89099884,19506457,1.158442913,33.8
73.0117188,69.468375,5.738,2.030666667,0.199333333,7.966,2.3,40.17,42.8,10.47,50.76,1.94,4.14,10.95666667,25.15415955,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,1.238932661,28.4
73.0117188,69.468375,5.738,2.030666667,0.199333333,7.966,2.3,40.17,42.8,10.47,50.76,1.94,4.14,10.95666667,25.90204048,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,1.189133543,28.4
71.3296432,69.468375,5.738,2.030666667,0.199333333,7.966,2.3,40.17,42.8,10.47,50.76,1.94,4.14,10.95666667,28.31259918,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,1.01117285,28.4
69.8518982,69.468375,5.738,2.030666667,0.199333333,7.966,2.3,40.17,42.8,10.47,50.76,1.94,4.14,10.95666667,27.36259079,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,0.827331016,28.4
69.9622803,69.468375,5.738,2.030666667,0.199333333,7.966,2.3,40.17,42.8,10.47,50.76,1.94,4.14,10.95666667,27.05249023,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,0.78367225,28.4
70.1302795,69.468375,5.738666667,2.624,0.26,8.622,2.17,33.3,36.54,18.78,54.97,3.03,6.33,10.95666667,28.64925003,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,0.891389955,28.4
74.243988,69.468375,5.738666667,2.624,0.26,8.622,2.17,33.3,36.54,18.78,54.97,3.03,6.33,10.95666667,29.29199028,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,0.784993389,28.4
73.5103531,69.468375,5.738666667,2.624,0.26,8.622,2.17,33.3,36.54,18.78,54.97,3.03,6.33,10.95666667,29.98494911,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,0.594626001,28.4
72.2701874,69.468375,5.738666667,2.624,0.26,8.622,2.17,33.3,36.54,18.78,54.97,3.03,6.33,10.95666667,30.35243988,6.014609814,80.30111017,48.3955,72.32111111,8141825.25,0.615264577,28.4
71.4623184,69.468375,5.738666667,2.624,0.26,8.622,2.17,33.3,36.54,18.78,54.97,3.03,6.33,10.95666667,30.48608017,5.892380238,80.30111017,48.3955,72.32111111,8141825.25,0.690282252,28.4
68.5025864,69.468375,5.769333333,3.076666667,0.330666667,9.174,2.07,28.59,31.56,24.66,57.71,4.16,8.65,10.95666667,30.59395027,5.682199955,80.30111017,48.3955,72.32111111,8141825.25,0.791331808,28.4
67.1064377,69.468375,5.769333333,3.076666667,0.330666667,9.174,2.07,28.59,31.56,24.66,57.71,4.16,8.65,11.86935997,30.05903053,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,0.686046798,28.4
66.950798,69.468375,5.769333333,3.076666667,0.330666667,9.174,2.07,28.59,31.56,24.66,57.71,4.16,8.65,11.24707985,29.56015968,5.484869957,80.30111017,48.3955,72.32111111,8141825.25,0.458559864,28.4
68.0505524,69.468375,5.769333333,3.076666667,0.330666667,9.174,2.07,28.59,31.56,24.66,57.71,4.16,8.65,10.40229034,30.07887077,5.360229969,80.30111017,48.3955,72.32111111,8141825.25,0.379222596,28.4
69.247963,69.468375,5.769333333,3.076666667,0.330666667,9.174,2.07,28.59,31.56,24.66,57.71,4.16,8.65,9.767700195,30.28845978,5.143444444,80.30111017,48.3955,72.32111111,8141825.25,0.39693319,28
71.0493622,69.468375,5.771333333,3.524666667,0.421333333,9.716,2.28,21.92,24.78,29.3,61.8,5.61,11.15,10.56039047,29.0003109,5.415019989,80.30111017,48.3955,72.32111111,8141825.25,0.46632652,27.6
99.2217178,69.468375,5.771333333,3.524666667,0.421333333,9.716,2.28,21.92,24.78,29.3,61.8,5.61,11.15,10.8004303,27.76032066,5.28000021,80.30111017,48.3955,72.32111111,8141825.25,0.554957726,27.2
99.4518204,69.468375,5.771333333,3.524666667,0.421333333,9.716,2.28,21.92,24.78,29.3,61.8,5.61,11.15,11.2650404,31.97841072,5.07461977,80.30111017,48.3955,72.32111111,8141825.25,0.634526879,26.8
98.9690628,69.468375,5.771333333,3.524666667,0.421333333,9.716,2.28,21.92,24.78,29.3,61.8,5.61,11.15,10.53046989,30.20054054,4.913290024,80.30111017,48.3955,72.32111111,8141825.25,0.646096228,28.233
98.2750626,69.468375,5.771333333,3.524666667,0.421333333,9.716,2.28,21.92,24.78,29.3,61.8,5.61,11.15,10.95666667,33.25415039,4.747529984,80.30111017,48.3955,72.32111111,8141825.25,0.599907213,29.667
96.1030197,69.468375,5.824,3.775333333,0.503333333,10.10266667,1.89,19.61,22.04,31.98,62.1,7.58,13.97,10.96805954,33.25415039,4.670380116,80.30111017,48.3955,72.32111111,6912131,0.688603823,31.1
97.2871017,69.468375,5.824,3.775333333,0.503333333,10.10266667,1.89,19.61,22.04,31.98,62.1,7.58,13.97,10.71916962,32.59294128,4.793069839,80.30111017,48.3955,72.32111111,7020732,0.788031035,30.867
96.8281326,69.468375,5.824,3.775333333,0.503333333,10.10266667,1.89,19.61,22.04,31.98,62.1,7.58,13.97,10.95666667,31.19356918,4.686510086,80.30111017,48.3955,72.32111111,7112163,0.756056593,30.633
98.3719101,69.468375,5.824,3.775333333,0.503333333,10.10266667,1.89,19.61,22.04,31.98,62.1,7.58,13.97,9.4874897,31.19356918,5.509220123,80.30111017,48.3955,72.32111111,7184089,0.69699133,30.4
99.8112793,69.468375,5.824,3.775333333,0.503333333,10.10266667,1.89,19.61,22.04,31.98,62.1,7.58,13.97,9.494959831,30.94038963,5.24751997,80.30111017,48.3955,72.32111111,7304919,0.602938474,30.017
98.7296371,69.468375,5.847333333,3.95,0.582666667,10.38,1.51,16.93,19.35,33.39,62.45,9.27,16.69,9.719510078,30.11758041,5.129049778,80.30111017,48.3955,72.32111111,7373931,0.493927373,29.633
98.7000198,69.468375,5.847333333,3.95,0.582666667,10.38,1.51,16.93,19.35,33.39,62.45,9.27,16.69,8.866609573,29.32645035,5.225830078,81.18000031,49.15999985,72.25,7471445,0.461395748,29.25
99.7989731,69.468375,5.847333333,3.95,0.582666667,10.38,1.51,16.93,19.35,33.39,62.45,9.27,16.69,10.95666667,28.89228058,5.143444444,81.66000366,50.43000031,73.31999969,7667609,0.514767002,28.867
99.280899,69.3504715,5.847333333,3.95,0.582666667,10.38,1.51,16.93,19.35,33.39,62.45,9.27,16.69,10.42632008,28.89228058,5.143444444,80.25,46.11999893,70.87000275,7810643,0.616640531,28.483
99.280899,71.1672974,5.847333333,3.95,0.582666667,10.38,1.51,16.93,19.35,33.39,62.45,9.27,16.69,10.48554993,28.80265999,5.143444444,80.44999695,46.91999817,71.75,7963432,0.665493187,28.1
99.1058731,71.1281281,5.862,4.196,0.616666667,10.67333333,1.21,14.45,16.63,37.69,64.8,9.84,17.36,11.07563019,28.01728058,4.892650127,80.01999664,47.18000031,72.93000031,8159104,0.714770363,28.44
98.743782,70.4194336,5.862,4.196,0.616666667,10.67333333,1.21,14.45,16.63,37.69,64.8,9.84,17.36,11.01714039,26.82904053,5.143444444,80.23999786,47.84000015,73.45999908,8307377,0.754840058,28.78
97.6592102,69.2307434,5.862,4.196,0.616666667,10.67333333,1.21,14.45,16.63,37.69,64.8,9.84,17.36,11.09920025,25.83247948,5.143444444,80.48999786,49.38000107,73.54000092,8442995,0.638291666,29.12
97.1753464,70.3663101,5.862,4.196,0.616666667,10.67333333,1.21,14.45,16.63,37.69,64.8,9.84,17.36,11.40470982,26.18528938,5.143444444,79.80999756,49.25999832,72.70999908,8482203,0.471814399,29.46
99.2380371,70.3206711,5.862,4.196,0.616666667,10.67333333,1.21,14.45,16.63,37.69,64.8,9.84,17.36,11.72140026,26.59012032,5.143444444,79.84999847,49.22000122,71.66999817,8539601,0.347475412,29.8
99.233139,69.8261185,5.727333333,4.331333333,0.716,10.77333333,3.77,10.61,12.16,35.58,63.69,11.65,20.27,12.19349003,26.77396965,4.912280083,80.13999939,48.16999817,72.36000061,8579603,0.233663148,29
99.1267014,68.2823563,5.727333333,4.331333333,0.716,10.77333333,3.77,10.61,12.16,35.58,63.69,11.65,20.27,11.83043957,27.50712013,4.742730141,80.09999847,48.43000031,72.68000031,8646223,0.160613669,30
99.5456314,67.8616409,5.727333333,4.331333333,0.716,10.77333333,3.77,10.61,12.16,35.58,63.69,11.65,20.27,11.62495995,27.24585915,4.646319866,80.02999878,49.25999832,73.20999908,8796023,0.217521601,29.6
99.8410568,67.6992416,5.727333333,4.331333333,0.716,10.77333333,3.77,10.61,12.16,35.58,63.69,11.65,20.27,11.69202042,27.77465057,4.627190113,80.38999939,49.90000153,73.22000122,8932882,0.389292461,29.3
99.6743011,68.8178177,5.727333333,4.331333333,0.716,10.77333333,3.77,10.61,12.16,35.58,63.69,11.65,20.27,11.41065025,27.43424988,5.086410046,80.09999847,49.81999969,73.72000122,9029065,0.514284545,27.9
